company_name,url
Nestle,www.nestle.com
Dr. Reddy's Laboratories,www.drreddys.com
Coca,www.coca-colacompany.com
Pfizer,www.pfizer.com
PepsiCo,www.pepsico.com
Johnson & Johnson,www.jnj.com
Danone,www.danone.com
General Mills,www.generalmills.com
GlaxoSmithKline (GSK),www.gsk.com
Merck & Co.,www.merck.com
Unilever,www.unilever.com
Roche,www.roche.com
Nestle Waters,www.nestlewaters.com
Sanofi,www.sanofi.com
Mondelez International,www.mondelezinternational.com
Novartis,www.novartis.com
Kraft Heinz,www.kraftheinzcompany.com
Tyson Foods,www.tysonfoods.com
Teva Pharmaceuticals,www.tevapharm.com
"Mars Incorporated",www.mars.com
Campbell Soup Company,www.campbellsoupcompany.com
Amgen,www.amgen.com
Conagra Brands,www.conagrabrands.com
AstraZeneca,www.astrazeneca.com
Molson Coors,www.molsoncoors.com
Boehringer Ingelheim,www.boehringeringelheim.com
AB InBev,www.abinbev.com
BASF,www.basf.com
Diageo,www.diageo.com
Procter & Gamble (P&G),www.pg.com
Heineken,www.theheinekencompany.com
Medtronic,www.medtronic.com
McKesson,www.mckesson.com
AmerisourceBergen,www.amerisourcebergen.com
Cardinal Health,www.cardinalhealth.com
Kellogs,www.kellogs.com
